"#Req. Aircraft","Airline","Livery","Ac.Type","Flighttype","Performance class","Registration","Heavy","Ac.Number","Model","Offset","Radius","Home port"
"CRK-IBE","IBE","IBE","CRK","gate","jet_transport","L-GAV","false","","","","",""
"738-SBI","SBI","SBI","738","gate","jet_transport","L-GAV","false","","","","",""
"763-SBI","SBI","SBI","763","gate","jet_transport","L-GAV","false","","","","",""
"333-FIN","FIN","FIN","333","gate","jet_transport","L-GAV","false","","","","",""
"321-HDA","HDA","HDA","321","gate","jet_transport","L-GAV","false","","","","",""
"DH4-MAH","MAH","MAH","DH4","gate","jet_transport","L-GAV","false","","","","",""
"EM2-MAH","MAH","MAH","EM2","gate","jet_transport","L-GAV","false","","","","",""
"DH8-QFA","QFA","QFA","DH8","gate","jet_transport","L-GAV","false","","","","",""
"763-LAN","LAN","LAN","763","gate","jet_transport","L-GAV","false","","","","",""
"100-QFA","QFA","QFA","100","gate","jet_transport","L-GAV","false","","","","",""
"E70-FIN","FIN","FIN","E70","gate","jet_transport","L-GAV","false","","","","",""
"738-MAH","MAH","MAH","738","gate","jet_transport","L-GAV","false","","","","",""
"763-DSM","DSM","DSM","763","gate","jet_transport","L-GAV","false","","","","",""
"320-HDA","HDA","HDA","320","gate","jet_transport","L-GAV","false","","","","",""
"319-LPE","LPE","LPE","319","gate","jet_transport","L-GAV","false","","","","",""
"733-BAW","BAW","BAW","733","gate","jet_transport","L-GAV","false","","","","",""
"342-IBE","IBE","IBE","342","gate","jet_transport","L-GAV","false","","","","",""
"320-LNE","LNE","LNE","320","gate","jet_transport","L-GAV","false","","","","",""
"E90-FIN","FIN","FIN","E90","gate","jet_transport","L-GAV","false","","","","",""
"773-JAL","JAL","JAL","773","gate","jet_transport","L-GAV","false","","","","",""
"734-JTA","JTA","JTA","734","gate","jet_transport","L-GAV","false","","","","",""
"AT4-BAW","BAW","BAW","AT4","gate","jet_transport","L-GAV","false","","","","",""
"763-LNE","LNE","LNE","763","gate","jet_transport","L-GAV","false","","","","",""
"340-FIN","FIN","FIN","340","gate","jet_transport","L-GAV","false","","","","",""
"AT7-FIN","FIN","FIN","AT7","gate","jet_transport","L-GAV","false","","","","",""
"AT5-FIN","FIN","FIN","AT5","gate","jet_transport","L-GAV","false","","","","",""
"75W-FIN","FIN","FIN","75W","gate","jet_transport","L-GAV","false","","","","",""
"ATR-FIN","FIN","FIN","ATR","gate","jet_transport","L-GAV","false","","","","",""
"777-CPA","CPA","CPA","777","gate","jet_transport","L-GAV","false","","","","",""
"ATR-BAW","BAW","BAW","ATR","gate","jet_transport","L-GAV","false","","","","",""
"763-LPE","LPE","LPE","763","gate","jet_transport","L-GAV","false","","","","",""
"388-QFA","QFA","QFA","388","gate","jet_transport","L-GAV","false","","","","",""
"734-JAL","JAL","JAL","734","gate","jet_transport","L-GAV","false","","","","",""
"32S-CSA","CSA","CSA","32S","gate","jet_transport","L-GAV","false","","","","",""
"737-CSA","CSA","CSA","737","gate","jet_transport","L-GAV","false","","","","",""
"ATR-CSA","CSA","CSA","ATR","gate","jet_transport","L-GAV","false","","","","",""
"321-CSA","CSA","CSA","321","gate","jet_transport","L-GAV","false","","","","",""
"E90-AFR","AFR","AFR","E90","gate","jet_transport","L-GAV","false","","","","",""
"ERJ-AMX","AMX","AMX","ERJ","gate","jet_transport","L-GAV","false","","","","",""
"EMJ-AMX","AMX","AMX","EMJ","gate","jet_transport","L-GAV","false","","","","",""
"777-KLM","KLM","KLM","777","gate","jet_transport","L-GAV","false","","","","",""
"332-DAL","DAL","DAL","332","gate","jet_transport","L-GAV","false","","","","",""
"767-DAL","DAL","DAL","767","gate","jet_transport","L-GAV","false","","","","",""
"73W-VBI","VBI","VBI","73W","gate","jet_transport","L-GAV","false","","","","",""
"739-KAL","KAL","KAL","739","gate","jet_transport","L-GAV","false","","","","",""
"M88-DAL","DAL","DAL","M88","gate","jet_transport","L-GAV","false","","","","",""
"D95-DAL","DAL","DAL","D95","gate","jet_transport","L-GAV","false","","","","",""
"757-DAL","DAL","DAL","757","gate","jet_transport","L-GAV","false","","","","",""
"738-DAL","DAL","DAL","738","gate","jet_transport","L-GAV","false","","","","",""
